Farm,Volume,Temp,CC,SCC,Month,TBC
1,2765,11.4,,127000,11,2
1,2712,9.7,,88000,11,2
1,2603,11.6,,175000,11,3
1,589,4.4,0,115000,8,4
1,1279,6,0,303000,3,5
1,2321,8.6,,218000,1,5
1,1542,5.2,,232000,8,7
1,1347,4.8,,130000,8,7
1,302,5.5,,82000,8,7
1,2318,12.1,,194000,1,9
1,2781,5.8,0,112000,11,
1,2223,10.2,0,238000,1,
1,1656,4.2,0,136000,8,
1,1406,17.2,0,,11,
1,1111,4.8,0,494000,3,
1,2301,11.4,70,215000,1,
1,2753,12,,106000,11,
1,2734,4.4,,102000,11,
1,2716,10.4,,120000,11,
1,2698,3.9,,108000,11,
1,2688,6,,166000,11,
1,2664,5.1,,103000,11,
1,2555,10,,201000,11,
1,2555,10.4,,151000,11,
1,2443,13,,158000,1,
1,2414,9.9,,202000,1,
1,2379,9.7,,217000,1,
1,2332,10.5,,158000,11,
1,2330,11.4,,226000,1,
1,2321,10.3,,228000,1,
1,2288,11.4,,202000,1,
1,2270,10.5,,168000,1,
1,2261,4.3,,,11,
1,2256,10.4,,192000,1,
1,2255,4.5,,181000,1,
1,2132,4.1,,263000,1,
1,2130,8.5,,241000,1,
1,1692,5.3,,240000,8,
1,1614,5.7,,204000,8,
1,1591,7.5,,327000,3,
1,1505,5.7,,192000,8,
1,1495,7,,349000,3,
1,1478,5,,394000,3,
1,1450,8,,464000,3,
1,1448,8.7,,432000,3,
1,1445,6.3,,335000,3,
1,1434,5.7,,145000,8,
1,1375,10.1,,467000,3,
1,1254,6.3,,319000,3,
1,1179,4.9,,317000,3,
1,1168,8.8,,261000,3,
1,1122,4.4,,376000,3,
1,1113,4.2,,382000,3,
1,1096,4.6,,129000,8,
1,1090,8.4,,338000,3,
1,1021,5.1,,122000,8,
1,657,4.2,,104000,8,
1,509,3.5,,166000,11,
1,410,6,,108000,8,
1,380,4.6,,,5,
1,366,5.2,,111000,8,
2,7004,4.9,,114000,11,7
2,5593,5.4,,201000,1,7
2,6692,4.4,,113000,11,8
2,5269,4.7,,228000,3,8
2,2832,4.6,,313000,7,8
2,5966,8,,226000,1,9
2,2502,5.3,,266000,5,9
2,1582,5.3,,378000,5,9
2,7260,4.8,,279000,1,10
2,4221,5.8,,,5,13
2,4822,6.2,,252000,3,22
2,7936,6.9,,439000,8,23
2,6505,5.3,,366000,7,23
2,1352,4.7,,458000,7,43
2,7091,5,,487000,8,46
2,2950,4.7,,410000,7,49
2,11227,4.7,0,674000,8,
2,8083,4.8,0,471000,8,
2,7078,4.9,0,396000,7,
2,6464,4.8,0,100000,11,
2,5780,8,0,244000,1,
2,5132,5.1,0,204000,3,
2,3790,4.7,0,301000,3,
2,2574,6,0,291000,5,
2,3058,6.3,70,528000,7,
2,12531,4.8,80,473000,8,
2,5393,5.2,80,190000,1,
2,9258,5.5,180,,8,
2,2680,5.5,270,603000,5,
2,7151,4.8,350,112000,11,
2,13742,5,,411000,8,
2,11814,5,,579000,8,
2,10130,8.9,,228000,3,
2,8593,5.1,,516000,8,
2,8195,4.9,,556000,8,
2,8193,6.1,,447000,8,
2,8057,9.1,,429000,8,
2,7892,4.7,,500000,8,
2,7808,5.2,,563000,8,
2,7744,5.4,,482000,8,
2,7719,6.5,,356000,8,
2,7617,5.1,,559000,8,
2,7379,4.9,,358000,8,
2,7369,4.8,,247000,8,
2,7256,5.3,,144000,11,
2,7229,6.5,,103000,11,
2,7219,4.6,,120000,11,
2,7215,5.2,,301000,9,
2,7209,4.4,,107000,11,
2,7187,4.7,,128000,11,
2,7175,6.6,,91000,11,
2,7133,5.1,,119000,11,
2,7132,5.1,,497000,8,
2,7117,6.3,,172000,11,
2,7066,4.8,,512000,8,
2,7053,9.3,,112000,11,
2,7022,5.3,,99000,11,
2,6967,7.9,,122000,11,
2,6940,7.4,,119000,11,
2,6933,4.8,,124000,11,
2,6927,5,,310000,8,
2,6868,4.9,,556000,8,
2,6853,5.1,,152000,11,
2,6852,5.3,,133000,11,
2,6851,5.3,,100000,11,
2,6828,5.1,,178000,1,
2,6797,6,,184000,1,
2,6796,9.4,,194000,1,
2,6788,5,,114000,11,
2,6782,6.2,,153000,11,
2,6765,4.7,,213000,1,
2,6754,4.1,,124000,11,
2,6708,7,,115000,11,
2,6700,4,,131000,11,
2,6693,9,,133000,11,
2,6640,4.6,,120000,11,
2,6631,4.6,,183000,1,
2,6554,5.9,,159000,1,
2,6394,7.5,,118000,11,
2,6371,8.6,,229000,1,
2,6183,6.4,,228000,1,
2,6119,5.1,,224000,1,
2,5970,4.9,,222000,1,
2,5967,,,192000,1,
2,5930,7.1,,245000,1,
2,5921,5.2,,442000,7,
2,5911,8,,243000,1,
2,5834,7.6,,200000,1,
2,5778,7.5,,258000,1,
2,5772,7.7,,235000,1,
2,5757,9.9,,268000,1,
2,5706,8.6,,250000,1,
2,5685,5.9,,244000,1,
2,5670,8.1,,272000,3,
2,5602,5,,210000,1,
2,5582,7,,331000,3,
2,5559,6.8,,200000,1,
2,5523,8,,247000,1,
2,5518,5,,254000,1,
2,5441,6.8,,236000,1,
2,5422,4.4,,221000,3,
2,5338,8.7,,216000,3,
2,5315,3.7,,204000,3,
2,5314,6.9,,256000,3,
2,5257,6.8,,262000,3,
2,5233,5.6,,209000,3,
2,5224,4.5,,222000,1,
2,5199,5.1,,243000,3,
2,5199,8.1,,216000,3,
2,5134,6.2,,231000,3,
2,5081,8.1,,274000,3,
2,5057,4.8,,247000,3,
2,5049,8.2,,246000,3,
2,5038,7.1,,235000,3,
2,5020,5.1,,204000,3,
2,4765,5.9,,215000,3,
2,4729,6.1,,274000,3,
2,4695,7.5,,317000,3,
2,4563,6.5,,270000,3,
2,4507,5.4,,333000,3,
2,4497,6.8,,272000,3,
2,4490,5.4,,350000,5,
2,4488,4.9,,438000,5,
2,4408,6.4,,295000,3,
2,4368,5.4,,320000,3,
2,4269,4.8,,410000,5,
2,4234,5.6,,492000,5,
2,4228,5.2,,461000,5,
2,4168,7,,423000,5,
2,4166,5.1,,373000,5,
2,4139,4.9,,328000,7,
2,3746,5.3,,470000,5,
2,3400,5,,413000,7,
2,3390,5.3,,385000,7,
2,3181,7.3,,282000,7,
2,3180,5.7,,405000,5,
2,3010,4.9,,308000,7,
2,2884,4.7,,369000,7,
2,2882,7.3,,344000,5,
2,2640,4.9,,338000,5,
2,2466,5.1,,273000,5,
2,2466,4.5,,280000,5,
2,2455,5.2,,417000,5,
2,2215,4.6,,352000,7,
2,2080,4.7,,468000,8,
2,2044,4.6,,341000,5,
2,1685,5.2,,492000,8,
2,1475,9.6,,209000,7,
2,1474,8.8,,407000,5,
2,1445,4.6,,337000,7,
2,1438,4.4,,337000,7,
2,1437,13.3,,268000,7,
2,1305,4.7,,,5,
2,760,4.8,,383000,7,
2,64,5.9,,,11,
3,857,4.8,,85000,7,2
3,2032,4.2,,112000,7,3
3,5410,4.5,0,144000,11,4
3,4623,3.7,,195000,1,4
3,5278,3.8,,233000,3,5
3,4642,4.3,,159000,8,5
3,3663,4.5,,277000,5,5
3,5286,4.7,0,195000,11,6
3,4373,4.5,,184000,1,6
3,4158,5.1,,219000,1,6
3,7095,4.8,,248000,8,8
3,4372,4.8,,179000,1,12
3,3295,4.9,,228000,7,22
3,4377,4.8,,185000,1,63
3,7755,4.6,0,160000,8,
3,5176,4.6,0,154000,8,
3,4686,4.5,0,229000,3,
3,4511,4.1,0,174000,1,
3,4397,4.4,0,222000,1,
3,4036,4.5,0,149000,8,
3,1686,4.8,0,587000,5,
3,1371,3.5,0,82000,7,
3,,,,219000,1,
